"국가",2015,2016,2017,2018,2019,2020
"푸에르토리코",103375500000.000 (US$),104336700000.000 (US$),103445500000.000 (US$),100925000000.000 (US$),104914600000.000 (US$),103138300000.000 (US$)
"카타르",161739955577.748 (US$),151732181857.113 (US$),161099122215.307 (US$),183334953813.209 (US$),175837550996.185 (US$),146373588866.511 (US$)
"루마니아",177729210874.504 (US$),188128818486.401 (US$),211695422578.655 (US$),241457403085.042 (US$),249696854574.199 (US$),248715551366.635 (US$)
"러시아",1363481063446.770 (US$),1276786979221.810 (US$),1574199387070.900 (US$),1657328865709.990 (US$),1687448525466.610 (US$),1483497784867.600 (US$)
"르완다",8539048447.781 (US$),8690485823.145 (US$),9253098954.278 (US$),9640280084.196 (US$),10355974217.374 (US$),10333991891.703 (US$)
"사모아",788307330.556 (US$),799376439.530 (US$),832153612.557 (US$),821496064.526 (US$),852250190.985 (US$),807027244.421 (US$)
"산마리노",1419394771.210 (US$),1468377272.139 (US$),1528630707.498 (US$),1655300872.534 (US$),1616369645.996 (US$),-
"상투메프린시페",316066072.344 (US$),345495614.980 (US$),375614126.194 (US$),412253809.729 (US$),427425039.684 (US$),472914469.919 (US$)
"사우디아라비아",654269902880.000 (US$),644935541440.000 (US$),688586244293.333 (US$),786521831573.333 (US$),792966838160.000 (US$),700117873249.269 (US$)
"세네갈",17774766636.046 (US$),19040312815.134 (US$),20996564751.599 (US$),23116699808.172 (US$),23306213742.360 (US$),24910904235.857 (US$)
"세이셸",1377495054.041 (US$),1426651768.822 (US$),1524486800.360 (US$),1586008999.748 (US$),1581380268.643 (US$),1124937500.000 (US$)
"시에라리온",4218723875.138 (US$),3674794530.190 (US$),3739577973.239 (US$),4085114794.223 (US$),4121733705.292 (US$),3865018882.898 (US$)
"싱가포르",308004146057.608 (US$),318763807455.664 (US$),343337750742.270 (US$),375981539145.907 (US$),374386306993.109 (US$),339998477929.985 (US$)
"슬로바키아",88503140511.755 (US$),89716156543.486 (US$),95445220585.194 (US$),105526182493.787 (US$),105119160234.117 (US$),104574146248.364 (US$)
"슬로베니아",43107506024.325 (US$),44766722790.583 (US$),48586603447.695 (US$),54161636034.652 (US$),54174227308.886 (US$),52880473699.880 (US$)
"솔로몬제도",1307061543.710 (US$),1378551118.492 (US$),1483758906.611 (US$),1574599182.647 (US$),1570215577.361 (US$),1551245525.605 (US$)
