국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
레바논,54961275741.559,51991634491.635,2.08,2.09,88.9,8.7,11136.0,0.442,25.069,67.382,7.549,,,,,,,,,,,,,71.279,22.872
레소토,2514146887.917,2366213068.575,3.26,3.16,29.0,6.3,3244.0,0.796,32.238,62.813,4.949,,,,124.1,117.8,120.9,52.8,71.3,62.0,8.2,13.3,10.8,,
라이베리아,3264000000.0,3070518100.0,4.75,4.35,52.1,4.7,1040.0,2.407,40.372,56.309,3.318,124.6,125.7,125.2,85.5,84.7,85.1,,,,,,,80.589,72.083
리비아,52607888717.949,52091152228.343,2.45,2.25,80.7,7.6,11685.0,1.375,27.785,67.689,4.526,,,,,,,,,,,,,65.254,33.803
리히텐슈타인,6839145106.862,,,,14.4,12.5,99732.0,0.307,,,,101.0,105.2,103.1,106.3,102.9,104.7,129.1,105.1,117.1,43.6,27.4,35.6,,
리투아니아,53722883091.351,54639938780.235,1.59,1.67,68.0,13.0,29775.0,0.02,15.478,63.904,20.618,88.6,87.7,88.2,103.9,103.9,103.9,110.6,106.0,108.4,61.4,84.0,72.4,67.574,56.235
룩셈부르크,70919958015.525,71104919108.141,1.55,1.45,91.5,12.2,65543.0,1.96,15.558,70.052,14.391,92.9,90.8,91.9,102.6,102.0,102.3,102.6,104.8,103.7,18.2,20.1,19.2,63.728,55.124
마카오,55302446577.888,55153707948.702,1.19,1.2,100.0,,,1.379,14.354,73.674,11.971,96.5,94.1,95.3,102.0,100.8,101.4,99.9,100.1,100.0,73.7,96.2,84.7,,
북마케도니아,12679934731.389,12547086168.49,1.5,1.5,,9.7,12874.0,0.004,16.31,69.213,14.477,40.4,41.6,41.0,97.2,97.1,97.1,82.5,80.3,81.4,36.7,48.6,42.5,,
마다가스카르,13614412550.872,14191911512.041,4.4,4.11,38.5,6.1,1404.0,2.641,40.063,56.837,3.101,35.9,39.3,37.6,142.0,143.1,142.5,36.7,37.1,36.9,5.5,5.1,5.3,89.006,83.446
